Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
DAKT,"Daktronics, Inc.",5.31,$238.77M,1994.0,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/dakt,
DARE,"Dare Bioscience, Inc.",1.44,$59.9M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dare,
DRIO,DarioHealth Corp.,17.89,$145.17M,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/drio,
DSKE,"Daseke, Inc.",5.88,$382.34M,2015.0,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dske,
DAIO,Data I/O Corporation,5.47,$46.04M,1981.0,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/daio,
DDOG,"Datadog, Inc.",99.84,$30.4B,2019.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddog,
DTSS,Datasea Inc.,3.44,$72.05M,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dtss,
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",33.66,$1.6B,2014.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/play,
DTEA,DAVIDsTEA Inc.,2.67,$70.04M,2015.0,Consumer Non-Durables,Food Chains,https://old.nasdaq.com/symbol/dtea,
DFNL,Davis Select Financial ETF,25.1102,,,,,https://old.nasdaq.com/symbol/dfnl,
DINT,Davis Select International ETF,24.18,,,,,https://old.nasdaq.com/symbol/dint,
DUSA,Davis Select U.S. Equity ETF,30.3853,,,,,https://old.nasdaq.com/symbol/dusa,
DWLD,Davis Select Worldwide ETF,32.0,,,,,https://old.nasdaq.com/symbol/dwld,
DWSN,Dawson Geophysical Company,2.59,$60.81M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dwsn,
DBVT,DBV Technologies S.A.,5.66,$620.53M,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dbvt,
DDMXU,DD3 Acquisition Corp. II,10.51,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/ddmxu,
DCRB,Decarbonization Plus Acquisition Corporation,12.0,$339.87M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dcrb,
DCRBU,Decarbonization Plus Acquisition Corporation,13.08,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dcrbu,
DCPH,"Deciphera Pharmaceuticals, Inc.",50.07,$2.85B,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dcph,
DFHT,Deerfield Healthcare Technology Acquisitions Corp.,16.02,$287.86M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dfht,
DFHTU,Deerfield Healthcare Technology Acquisitions Corp.,16.4,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dfhtu,
IBBJ,Defiance Nasdaq Junior Biotechnology ETF,37.3,,,,,https://old.nasdaq.com/symbol/ibbj,
TACO,"Del Taco Restaurants, Inc.",9.94,$371.01M,2014.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/taco,
DCTH,"Delcath Systems, Inc.",16.07,$93.14M,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dcth,
